
out\HighwayEnv\DQNAgent\run_20201215-235536_8656_exp_merge_502,exp_merge_502 similar to 500_Base with collision_reward= -3 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 0.5
out\HighwayEnv\DQNAgent\run_20201215-235552_19408_exp_merge_503,exp_merge_503 similar to 500_Base with collision_reward= -3 and successful_merging_reward= 5 and high_speed_reward= 1 and cooperative_reward= 2
out\HighwayEnv\DQNAgent\run_20201215-235608_20732_exp_merge_504,exp_merge_504 similar to 500_Base with collision_reward= -3 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 0.5
out\HighwayEnv\DQNAgent\run_20201216-161143_7448_exp_merge_505,exp_merge_505 similar to 500_Base with collision_reward= -3 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 2
out\HighwayEnv\DQNAgent\run_20201216-161156_13892_exp_merge_506,exp_merge_506 similar to 500_Base with collision_reward= -5 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 0.5
out\HighwayEnv\DQNAgent\run_20201216-161207_20264_exp_merge_507,exp_merge_507 similar to 500_Base with collision_reward= -5 and successful_merging_reward= 3 and high_speed_reward= 1 and cooperative_reward= 2
out\HighwayEnv\DQNAgent\run_20201218-231917_14404_exp_merge_603,exp_merge_603 similar to 600_Base with initial_position= 85 and random_offset_merging= 10 and speed= 22
out\HighwayEnv\DQNAgent\run_20201218-231950_13120_exp_merge_604,exp_merge_604 similar to 600_Base with initial_position= 85 and random_offset_merging= 15 and speed= 20
out\HighwayEnv\DQNAgent\run_20201218-232012_14452_exp_merge_605,exp_merge_605 similar to 600_Base with initial_position= 85 and random_offset_merging= 15 and speed= 22
out\HighwayEnv\DQNAgent\run_20201218-232029_6940_exp_merge_606,exp_merge_606 similar to 600_Base with initial_position= 90 and random_offset_merging= 5 and speed= 20
out\HighwayEnv\DQNAgent\run_20201218-233003_2696_exp_merge_607,exp_merge_607 similar to 600_Base with initial_position= 90 and random_offset_merging= 5 and speed= 22
out\HighwayEnv\DQNAgent\run_20201218-233017_1316_exp_merge_608,exp_merge_608 similar to 600_Base with initial_position= 90 and random_offset_merging= 10 and speed= 20
