out\HighwayEnv\DQNAgent\train\run_20210216-033931_20932_exp_merge_IROS_4000,"exp_merge_4000 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedy tau 10000 observation_shape [500, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210216-034049_18192_exp_merge_IROS_4000,"exp_merge_4000 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedy tau 10000 observation_shape [500, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210216-034114_3964_exp_merge_IROS_4008,"exp_merge_4008 similar to configs/experiments/IROS/exp_merge_IROS_4000base-2.json exploration EpsilonGreedy tau 10000 observation_shape [500, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210216-034135_21428_exp_merge_IROS_4016,"exp_merge_4016 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [500, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\test\run_20210216-180056_21428_exp_merge_IROS_4016-test,"exp_merge_4016 similar to configs/experiments/IROS/exp_merge_IROS_4000base-3.json exploration EpsilonGreedy tau 10000 observation_shape [500, 64] network ConvNetAtariDoubleQ"

out\HighwayEnv\DQNAgent\train\run_20210217-212722_18000_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-212826_12200_exp_merge_IROS_5001,"exp_merge_5001 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-212849_23480_exp_merge_IROS_5002,"exp_merge_5002 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 20 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-212900_16948_exp_merge_IROS_5003,"exp_merge_5003 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-212918_8976_exp_merge_IROS_5004,"exp_merge_5004 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-212940_22404_exp_merge_IROS_5010,"exp_merge_5010 similar to configs/experiments/IROS/exp_merge_IROS_5000base-2.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 10 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-212958_22468_exp_merge_IROS_5015,"exp_merge_5015 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] history_stack_size 5 network ConvNet3DResidual"

out\HighwayEnv\DQNAgent\train\run_20210217-213039_18528_exp_merge_IROS_4050,"exp_merge_4050 similar to configs/experiments/IROS/exp_merge_IROS_4000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [200, 64] network ConvNetStanfordMARLNoRes"

out\HighwayEnv\DQNAgent\train\run_20210217-213425_8704_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-221526_18384_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-222117_20252_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-222231_4456_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-222310_1060_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-222446_8664_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-222602_21248_exp_merge_IROS_5000,"exp_merge_5000 similar to configs/experiments/IROS/exp_merge_IROS_5000base-1.json exploration EpsilonGreedyLinear tau 20000 observation_shape [500, 64] history_stack_size 5 network ConvNet3D"

out\HighwayEnv\DQNAgent\train\run_20210217-233939_7376_exp_merge_IROS_3000,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

out\HighwayEnv\DQNAgent\train\run_20210217-234029_19424_exp_merge_IROS_3000,exp_merge_3000 similar to configs/experiments/IROS/exp_merge_IROS_3000base-1.json double True optimizer ADAM network ConvNetAtariDoubleQ policy_frequency 1

