out\HighwayEnv\DQNAgent\run_20210120-170825_14388_exp_merge_203,exp_merge_203 similar to configs/experiments/IEEE_Access/exp_base_200.json collision_reward= -5 and successful_merging_reward= 10 and high_speed_reward= 1 and cooperative_reward= 4
out\HighwayEnv\DQNAgent\run_20210121-180816_19528_exp_merge_300,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out\HighwayEnv\DQNAgent\run_20210121-180832_14628_exp_merge_301,exp_merge_301 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out\HighwayEnv\DQNAgent\run_20210121-180846_7540_exp_merge_302,exp_merge_302 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out\HighwayEnv\DQNAgent\run_20210121-180928_2492_exp_merge_303,exp_merge_303 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/run_20210121-164729_32472_exp_merge_307,exp_merge_307 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception False
out/HighwayEnv/DQNAgent/run_20210121-164729_32471_exp_merge_305,exp_merge_305 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/run_20210121-164729_32479_exp_merge_306,exp_merge_306 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception False
out/HighwayEnv/DQNAgent/run_20210121-164729_32486_exp_merge_304,exp_merge_304 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out\HighwayEnv\DQNAgent\run_20210122-135346_19528_exp_merge_300_test,exp_merge_300 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out\HighwayEnv\DQNAgent\run_20210122-124249_14628_exp_merge_301_test,exp_merge_301 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag True type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out\HighwayEnv\DQNAgent\run_20210122-141448_7540_exp_merge_302_test,exp_merge_302 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out\HighwayEnv\DQNAgent\run_20210122-085032_2492_exp_merge_303_test,exp_merge_303 similar to IEEE_Access/exp_base  cooperative_flag True sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/run_20210122-064706_32486_exp_merge_304_test,exp_merge_304 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception True
out/HighwayEnv/DQNAgent/run_20210122-013923_32472_exp_merge_307_test,exp_merge_307 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception False
out/HighwayEnv/DQNAgent/run_20210122-025749_32471_exp_merge_305_test,exp_merge_305 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicleAggressive cooperative_perception True
out/HighwayEnv/DQNAgent/run_20210122-050842_32479_exp_merge_306_test,exp_merge_306 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= highway_env.vehicle.behavior.CustomVehicle cooperative_perception False
out/HighwayEnv/DQNAgent/train/run_20210122-222048_1359_exp_merge_313,exp_merge_313 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= ControlledVehicle cooperative_perception False
out/HighwayEnv/DQNAgent/train/run_20210122-222048_1382_exp_merge_312,exp_merge_312 similar to IEEE_Access/exp_base  cooperative_flag False sympathy_flag False type= ControlledVehicle cooperative_perception True
